iter	Passed	Remaining
0	0	77
1	1	69
2	2	65
3	2	58
4	3	57
5	3	56
6	4	54
7	4	54
8	5	53
9	5	52
10	6	51
11	7	51
12	7	51
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	12	45
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	20	38
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	27	30
48	28	29
49	29	29
50	29	28
51	30	27
52	30	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	34	23
59	34	23
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	44	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	52	5
91	52	4
92	53	4
93	53	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
