iter	Passed	Remaining
0	136	136088
1	138	69094
2	140	46785
3	143	35671
4	146	29193
5	148	24631
6	150	21351
7	152	18892
8	154	17000
9	156	15449
10	158	14248
11	161	13284
12	163	12379
13	164	11616
14	166	10948
15	168	10359
16	169	9829
17	171	9376
18	174	9000
19	175	8618
20	177	8267
21	178	7940
22	179	7642
23	181	7366
24	182	7114
25	183	6877
26	184	6651
27	185	6442
28	187	6283
29	189	6113
30	190	5949
31	191	5788
32	192	5637
33	193	5491
34	194	5365
35	195	5238
36	196	5117
37	197	5004
38	198	4898
39	199	4799
40	201	4702
41	203	4635
42	203	4540
43	204	4447
44	205	4360
45	206	4282
46	207	4208
47	208	4136
48	209	4066
49	210	4006
50	211	3941
51	212	3877
52	213	3815
53	214	3761
54	216	3717
55	217	3665
56	218	3609
57	218	3555
58	219	3502
59	220	3451
60	220	3401
61	221	3353
62	222	3307
63	223	3262
64	223	3219
65	224	3177
66	225	3136
67	226	3097
68	226	3059
69	227	3022
70	228	2985
71	229	2962
72	231	2938
73	232	2910
74	233	2880
75	234	2850
76	235	2826
77	236	2798
78	237	2768
79	238	2738
80	238	2710
81	239	2683
82	240	2653
83	246	2691
84	248	2671
85	249	2647
86	249	2623
87	250	2599
88	251	2576
89	252	2556
90	253	2532
91	254	2508
92	254	2485
93	255	2463
94	256	2442
95	257	2423
96	258	2405
97	260	2396
98	261	2381
99	262	2365
100	263	2346
101	264	2327
102	265	2309
103	266	2291
104	266	2273
105	267	2256
106	268	2239
107	269	2223
108	270	2207
109	270	2190
110	271	2174
111	272	2158
112	273	2143
113	274	2130
114	276	2129
115	278	2124
116	279	2108
117	280	2094
118	281	2086
119	282	2071
120	283	2058
121	283	2043
122	284	2029
123	285	2017
124	286	2004
125	288	1998
126	288	1985
127	290	1978
128	291	1966
129	292	1956
130	295	1960
131	296	1949
132	297	1937
133	297	1925
134	298	1913
135	299	1902
136	300	1890
137	300	1879
138	301	1867
139	302	1858
140	304	1852
141	304	1841
142	306	1834
143	308	1835
144	310	1833
145	312	1826
146	313	1816
147	313	1806
148	314	1796
149	315	1788
150	316	1779
151	318	1774
152	319	1768
153	320	1761
154	322	1758
155	323	1751
156	324	1741
157	325	1732
158	325	1723
159	326	1714
160	326	1703
161	327	1694
162	328	1686
163	329	1678
164	330	1670
165	331	1663
166	332	1658
167	334	1654
168	337	1657
169	338	1651
170	339	1644
171	340	1637
172	340	1629
173	341	1622
174	342	1614
175	343	1607
176	345	1608
177	346	1602
178	348	1599
179	350	1597
180	351	1590
181	352	1582
182	353	1576
183	353	1569
184	354	1562
185	355	1554
186	356	1548
187	357	1542
188	359	1543
189	364	1555
190	366	1553
191	367	1546
192	368	1539
193	369	1533
194	369	1526
195	370	1519
196	371	1513
197	372	1508
198	373	1503
199	374	1499
200	375	1494
201	377	1491
202	378	1486
203	379	1480
204	380	1474
205	380	1467
206	381	1461
207	382	1455
208	382	1449
209	384	1445
210	385	1441
211	386	1435
212	387	1431
213	388	1428
214	390	1425
215	391	1421
216	393	1419
217	394	1413
218	394	1408
219	396	1404
220	396	1398
221	397	1393
222	398	1387
223	398	1381
224	399	1375
225	400	1370
226	400	1364
227	402	1361
228	403	1359
229	404	1355
230	406	1354
231	409	1354
232	410	1349
233	410	1344
234	411	1339
235	412	1334
236	412	1329
237	413	1324
238	414	1319
239	415	1314
240	416	1310
241	418	1309
242	420	1309
243	421	1305
244	422	1300
245	423	1297
246	423	1292
247	424	1287
248	425	1282
249	426	1278
250	426	1273
251	427	1268
252	428	1264
253	428	1259
254	429	1255
255	430	1251
256	432	1249
257	433	1246
258	435	1244
259	435	1240
260	436	1235
261	437	1231
262	438	1227
263	438	1223
264	439	1219
